week,Febbre,Influenzavirus_A_sottotipo_H1N1,Bronchite,Influenza_asiatica,Polipnea,Fago_lambda,Gammaretrovirus,Anatossina,Sputnik_(virofago),Influenza_suina
2018-42,-0.11529739939063186,-0.04770929546777123,-0.17709156864372355,-0.020069869594228202,-0.24486212477478853,-0.15198669015462907,-0.3248569612205976,-0.09419769419769419,-0.10218353075495933,-0.01877444994304618
2018-43,-0.1678428911101166,-0.04770929546777123,-0.19614216202286158,-0.02324081222899326,-0.3496656182245702,-0.19778821687218634,-0.3248569612205976,-0.22933282933282934,-0.10218353075495933,-0.01877444994304618
2018-44,-0.14402363124505835,-0.04770929546777123,-0.17912154990543497,-0.01978160208197683,-0.2885302470455309,-0.09600704638872577,-0.3248569612205976,-0.05635985635985636,-0.10218353075495933,-0.01877444994304618
2018-45,-0.1368676304272297,-0.04770929546777123,-0.188646846595004,-0.019493334569725462,-0.26232937368308545,-0.10364063417498531,-0.3248569612205976,-0.11041391041391041,-0.10218353075495933,-0.01877444994304618
2018-46,-0.12132888579423029,-0.04770929546777123,-0.19036452304722135,-0.020646404618730938,-0.23612850032064006,-0.11381875122333136,-0.3248569612205976,-0.1860895860895861,-0.10218353075495933,-0.01877444994304618
2018-47,-0.10078094058875084,-0.04770929546777123,-0.1802146167386642,-0.018340264520719983,-0.27979662259138244,0.0973771775298493,-0.3248569612205976,-0.18068418068418068,-0.10218353075495933,-0.01877444994304618
2018-48,-0.09464722560204056,-0.04770929546777123,-0.17271930131080662,-0.019493334569725462,-0.2754298103643082,0.08465453121941673,-0.3248569612205976,0.07877527877527878,-0.10218353075495933,-0.01877444994304618
2018-49,-0.10159876925364554,-0.04770929546777123,-0.17396852054878287,-0.015169321885954924,-0.25796256145601126,-0.055294578195341546,-0.3248569612205976,0.008505008505008505,-0.10218353075495933,-0.01877444994304618
2018-50,-0.0797218524677122,-0.04770929546777123,-0.16132017576427318,-0.014304519349200816,-0.27979662259138244,0.038853004501859474,-0.3248569612205976,-0.013116613116613118,-0.10218353075495933,-0.01877444994304618
2018-51,-0.06612545091383773,-0.04770929546777123,-0.16694166233516639,-0.016610659447211767,-0.3758664915870156,-0.017126639264043834,-0.3248569612205976,-0.05635985635985636,-0.10218353075495933,-0.01877444994304618
2018-52,-0.0789040238028175,-0.04770929546777123,-0.17709156864372355,-0.023529079741244633,-0.3409319937704217,-0.31229203366607944,-0.3248569612205976,-0.2887922887922888,-0.10218353075495933,-0.01877444994304618
2019-01,-0.1665139195296627,-0.04770929546777123,-0.18286920761936376,-0.019493334569725462,-0.402067364949461,-0.3479154433352907,0.0,-0.3698733698733699,-0.10218353075495933,-0.01877444994304618
2019-02,0.0714742219546963,-0.04770929546777123,-0.06403722760687157,-0.013151449300195338,-0.27979662259138244,0.07193188490898415,0.0,0.13282933282933282,-0.10218353075495933,-0.01877444994304618
2019-03,0.09089765274594554,-0.04770929546777123,-0.08605471667620324,-0.010557041689933015,-0.20119400250404618,0.3340183989038951,0.0,-0.12122472122472122,-0.10218353075495933,-0.01877444994304618
2019-04,0.11573919844212219,-0.04770929546777123,-0.08995852679487906,-0.012863181787943968,-0.14442544355208112,0.5732041495400274,0.0,0.2085050085050085,-0.10218353075495933,-0.01877444994304618
2019-05,0.10950325487230007,-0.04770929546777123,-0.08183860174803334,-0.011421844226687123,-0.14442544355208112,0.49177921315325895,0.0,0.19228879228879228,-0.10218353075495933,-0.01877444994304618
2019-06,0.1251442280884113,-0.04770929546777123,-0.10588607207907644,-0.01228664676344123,0.12631691452652152,0.39508710119397145,0.0,0.19228879228879228,-0.10218353075495933,-0.01877444994304618
2019-07,0.048166105005197225,-0.04770929546777123,-0.14258188719462922,-0.018628532032971355,-0.14442544355208112,0.25004893325504013,0.0,0.16526176526176525,-0.10218353075495933,-0.01877444994304618
2019-08,0.043872504514500026,-0.04770929546777123,-0.13555502898101274,-0.018916799545222723,-0.1662595046874523,0.2576825210412997,0.0,-0.029332829332829335,-0.10218353075495933,-0.01877444994304618
2019-09,0.056242163071032435,-0.04770929546777123,-0.1458610876943169,-0.02410561476574737,-0.1313250068708584,0.17625758465453123,0.0,-0.03473823473823474,-0.10218353075495933,-0.01877444994304618
2019-10,0.044076961680723704,-0.04770929546777123,-0.09417464172304896,-0.013151449300195338,-0.20119400250404618,0.1864357017028773,0.0,-0.03473823473823474,-0.10218353075495933,-0.01877444994304618
2019-11,0.003798899934659503,-0.04770929546777123,-0.10385609081736501,-0.02439388227799874,-0.1662595046874523,0.1915247602270503,0.0,-0.08879228879228879,-0.10218353075495933,-0.01877444994304618
2019-12,0.012897243831613092,-0.04770929546777123,-0.16678550993041935,-0.02093467213098231,-0.12259138241670993,0.19661381875122333,0.0,-0.007711207711207712,-0.10218353075495933,-0.01877444994304618
2019-13,0.01923541598454705,-0.04770929546777123,-0.1627255474069965,-0.023817347253496,-0.12695819464378416,0.39508710119397145,0.0,0.14364014364014363,-0.10218353075495933,-0.01877444994304618
2019-14,-0.0030504151338336476,-0.04770929546777123,-0.15491792716964484,-0.022087742179987786,-0.1924603780498977,0.22460364063417498,0.0,0.01391041391041391,-0.10218353075495933,-0.01877444994304618
2019-15,-0.09280711110602748,-0.04770929546777123,-0.18271305521461673,-0.019493334569725462,-0.15315906800622958,-0.05275004893325503,0.0,-0.18068418068418068,-0.10218353075495933,-0.01877444994304618
