season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2015-2016,netherlands,2016-05,2016-07,122.13353510293254,147.34687395219999,678.1698860815214,0.7665632424523586,4.9576347951897564e-06
2016-2017,netherlands,2017-02,2017-05,153.20948335506972,123.5129131035,626.2357276468891,0.8110114797905984,5.037789430293807e-07
2017-2018,netherlands,2017-44,2018-10,295.3473488740959,169.66161532299998,8287.654951132934,-0.15416876017401618,0.45207467282278696
2018-2019,netherlands,2019-05,2019-06,182.41144084391814,107.51,1499.2576347810775,0.6117567691505946,0.0008972758641605232
