week,Griep,Koorts,Mexicaanse_griep,Exophtalmus,Respiratoir_syncytieel_virus,Tabaksringvlekvirus,Cytomegalie,Cytokinestorm,Krim-Congo-hemorragische_koorts,Virale_hemorragische_koorts
2018-42,-0.22553028366981856,-0.26333198105059286,-0.12731876701582762,-0.01744186046511628,-0.05971590003365274,0.5,0.05073147711184524,-0.12509426847662142,-0.036774628879892045,-0.0412280701754386
2018-43,-0.24853053922821364,-0.30212068469128694,-0.14411540768769324,-0.040697674418604654,-0.06639331196089197,0.0,0.08754129306276548,-0.07607466063348416,-0.06309041835357626,-0.05350877192982456
2018-44,-0.24929721441349348,-0.24904140602507396,-0.15011420792764527,-0.01744186046511628,-0.058334366531465315,-0.1,0.14889098631429923,-0.0858785822021116,-0.036774628879892045,-0.05350877192982456
2018-45,-0.24648607206746742,-0.2844275918025493,-0.14051612754372203,-0.040697674418604654,-0.039683664251935036,0.2,-0.053563001415762125,-0.027055052790346895,-0.036774628879892045,-0.035964912280701755
2018-46,-0.262586250958344,-0.27558104535818045,-0.13451732730377003,-0.01744186046511628,-0.04175596450521618,0.0,0.11821613968853235,-0.0858785822021116,-0.028002699055330645,-0.03245614035087719
2018-47,-0.23166368515205724,-0.26231122569162724,-0.14111600756771725,-0.040697674418604654,-0.02149347313980057,0.3,0.05073147711184524,-0.13489819004524886,-0.08940620782726047,-0.04649122807017544
2018-48,-0.23038589317659086,-0.2640124846232366,-0.016340962576715443,-0.040697674418604654,0.015577675835562084,0.0,0.05686644643699861,-0.12509426847662142,-0.06309041835357626,-0.039473684210526314
2018-49,-0.23243036033733708,-0.2388338524354176,-0.1159210465599188,-0.01744186046511628,-0.003994048778759813,0.3,0.08140632373761211,-0.0466628959276018,-0.07186234817813766,-0.05350877192982456
2018-50,-0.20738563761819576,-0.2469998953071427,-0.113521526463938,0.005813953488372093,-0.011592483040790667,0.1,-0.0596979707409155,-0.07607466063348416,-0.08063427800269907,-0.037719298245614034
2018-51,-0.26054178379759774,-0.26979676499070854,-0.13511720732776522,-0.01744186046511628,-0.02402628456047752,0.0,-0.01675318546484188,-0.0858785822021116,0.050944669365721985,-0.039473684210526314
2018-52,-0.29785330948121647,-0.32525780616117467,-0.12251972682386601,-0.040697674418604654,-0.044979542676986846,0.0,-0.09037281736668237,-0.11529034690799396,-0.08063427800269907,-0.039473684210526314
2019-01,-0.18898543317147967,-0.18099104876069833,-0.10092404596003877,0.005813953488372093,-0.03185497440620628,0.4,0.06913638508730537,-0.05646681749622925,-0.09817813765182187,-0.02543859649122807
2019-02,-0.17825198057756197,-0.173505509461617,-0.0505341239444419,-0.040697674418604654,-0.03738110841495599,0.1,0.10594620103822561,0.02196455505279036,-0.07186234817813766,-0.009649122807017544
2019-03,-0.0946843853820598,-0.12008597900908213,0.2554046882931106,0.005813953488372093,-0.0429072424237057,0.1,0.020056630486078364,0.08078808446455507,-0.10695006747638328,-0.0061403508771929825
2019-04,-0.008050089445438283,-0.10341364147931009,0.15522472428591202,-0.01744186046511628,-0.050966187853132366,0.3,0.03232656913638511,0.02196455505279036,-0.028002699055330645,-0.02894736842105263
2019-05,-0.03871709685663174,-0.0690482110608004,0.3051947302847123,0.029069767441860465,-0.040604686586726654,0.1,0.007786691835771617,0.13961161387631976,-0.01923076923076924,-0.027192982456140352
2019-06,0.00038333759263991824,-0.11634320935954147,0.16002376447787364,0.05232558139534884,-0.04935439876724703,-0.2,0.044596507786691865,0.10039592760180997,-0.010458839406207837,-0.034210526315789476
2019-07,-0.0039611551239458215,-0.05475763603528152,0.09163744174242074,0.005813953488372093,-0.0477426096813617,0.2,-0.022888154789995254,0.02196455505279036,-0.08063427800269907,-0.04298245614035088
2019-08,-0.02619473549706108,-0.060882168189075325,0.013053158599049404,0.029069767441860465,-0.04912414318354913,-0.1,0.09367626238791886,0.01216063348416291,-0.07186234817813766,-0.039473684210526314
2019-09,-0.03565039611551239,-0.06836770748815664,0.03164943934290063,-0.01744186046511628,-0.06086717795214227,0.8,0.06300141576215199,0.01216063348416291,-0.028002699055330645,-0.037719298245614034
2019-10,-0.08931765908510095,-0.10205263433402259,0.04064763970282865,-0.040697674418604654,-0.05994615561735065,0.6,-0.04742803209060875,0.0023567119155354583,-0.0016869095816464334,-0.04298245614035088
2019-11,-0.134295936621518,-0.1530904022823043,-0.00014420192884501598,-0.040697674418604654,-0.06961689013266265,0.6,-0.01675318546484188,-0.1447021116138763,-0.07186234817813766,-0.04649122807017544
2019-12,-0.1841298236647074,-0.2483609024524302,-0.09612500576807717,-0.01744186046511628,-0.07099842363485007,0.3,-0.022888154789995254,-0.11529034690799396,-0.04554655870445345,-0.037719298245614034
2019-13,-0.22604140046000512,-0.24291687387128016,-0.07452932490424993,-0.040697674418604654,-0.06800510104677732,0.5,-0.13945257196790936,-0.0466628959276018,-0.036774628879892045,-0.05175438596491228
2019-14,-0.23524150268336314,-0.23679234171748634,-0.12251972682386601,-0.040697674418604654,-0.0675445898793815,0.3,0.2225106182161397,-0.036858974358974346,-0.07186234817813766,-0.037719298245614034
2019-15,-0.278175313059034,-0.2980376632554244,-0.06853052466429793,-0.040697674418604654,-0.06869586779787103,0.1,-0.01675318546484188,-0.0858785822021116,-0.04554655870445345,-0.039473684210526314
