season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2010-2011,belgium,2011-02,2011-01,1184.8019052274303,491.30855641510004,308618.91478710284,-0.05908019038243291,0.7743531134408681
2011-2012,belgium,2012-08,2012-07,669.9056953577726,530.5706220533999,7073.606913256181,0.946692169361303,2.643916720652775e-13
2012-2013,belgium,2013-06,2013-06,1039.4278843220852,1018.0787068558,11219.144175705507,0.957082165995133,2.069213968639956e-14
2013-2014,belgium,2014-06,2014-09,372.47043543050165,310.6314229084,9128.487321847288,0.741499219639107,1.4622437093093348e-05
2014-2015,belgium,2015-06,2015-06,374.7952611327959,979.3634137810001,67010.32740246339,0.6597406867861364,0.00024577245669024997
2015-2016,belgium,2016-06,2016-09,339.50536933262924,733.5038050510001,30735.5264796183,0.7594099452319029,6.839457857765919e-06
2016-2017,belgium,2017-07,2017-05,365.3400278332613,663.8996612386001,17798.792403866377,0.7263952396350585,2.6508549864284392e-05
2017-2018,belgium,2018-09,2018-10,826.1036280721115,752.6331722288,12180.985889438636,0.8951235043963492,6.77892119947746e-10
2018-2019,belgium,2019-08,2019-07,334.31810997617777,760.71,24966.41191482063,0.7579761474220132,7.285545406822229e-06
