week,Epidemie,Griep,Hongkonggriep,Aziatische_griep,Koude_rillingen,Koorts,Influenzavirus_A,Verkoudheid,Astma,H5N1
2018-42,0.0,-0.023245303923783982,-0.0880015243072568,-0.0580891330891331,-0.12468577174459528,0.015494246537244781,-0.17327117327117328,0.07055758359734417,0.0,0.0
2018-43,0.0,-0.02570905830642399,-0.07844738417986827,-0.03666056166056167,-0.09947568771098184,0.023411155311213405,-0.17327117327117328,0.0406302642300932,0.0,0.0
2018-44,0.0,-2.915685659929666e-05,0.007539876966628544,-0.0580891330891331,-0.09947568771098184,0.0420776282920385,-0.17327117327117328,0.06927498419589055,0.36395609845222243,0.0
2018-45,0.0,0.025555984809277704,-0.07207795742827591,-0.08666056166056167,-0.09947568771098184,0.049631376113072785,-0.17327117327117328,0.1962523249397982,0.1900660350272753,0.0
2018-46,0.0,0.0006341616310345515,-0.008383689912352348,-0.015231990231990242,-0.08266896502190621,0.04084288105206175,-0.17327117327117328,0.040202731096275326,0.27304700754313155,0.0
2018-47,0.0,0.03313676752509311,-0.008383689912352348,-0.015231990231990242,-0.007038712921065867,0.08979697750761084,-0.17327117327117328,0.1346875536700248,0.6017996502492626,0.0
2018-48,0.0,0.006983067155529956,-0.06570853067668356,-0.09023199023199024,-0.049055519643754944,0.0703315504303302,-0.17327117327117328,0.14879614708601455,0.29683136272283556,0.0
2018-49,0.0,0.08184329647420711,-0.04023082367031413,-0.07237484737484738,-0.10787904905551965,0.1602502023768729,-0.16814296814296814,0.2154913159616024,0.45486518936131337,0.0
2018-50,0.0,0.09548870536267484,-0.02749197016712942,-0.06523199023199024,-0.05745888098829276,0.21399802341115529,-0.17327117327117328,0.16632500557254723,0.2349920392556051,0.0
2018-51,0.0,0.11235594690536413,-0.1357722249441995,-0.09023199023199024,-0.08266896502190621,0.16032283456745977,-0.17327117327117328,0.11331089697913124,-0.08477540260486001,-0.18264186933714827
2018-52,0.0,0.1395520048983519,-0.10710980456203388,-0.11166056166056167,-0.09947568771098184,0.1489195806453215,-0.17327117327117328,0.0406302642300932,-0.214268003027693,-0.22126847877920833
2019-01,0.0,0.7766220323786893,0.408813762316947,0.30619658119658116,-0.023845435610141498,0.6134750716389298,0.0,0.398903030369469,0.0,0.0
2019-02,0.0,0.7179657261150675,0.4056290489411508,0.18476800976800975,-0.04065215829921713,0.561034630035211,0.0,0.2787662197666473,0.0,0.0
2019-03,0.0,0.5365007398552362,0.39925962218955846,0.18833943833943834,-0.04065215829921713,0.4499800106278898,0.0,0.17316553571363316,0.0,0.0
2019-04,0.0,0.334662400046651,0.1349284119984757,0.13476800976800976,-0.07426560367736838,0.3282484592042988,0.0,0.19112192733398375,0.0,0.0
2019-05,0.0,0.3009279169612724,0.01709401709401708,0.1061965811965812,-0.06586224233283057,0.3217115620514807,0.0,0.21335365029251305,0.0,0.0
2019-06,0.0,0.20503101560620748,0.029832870597201792,0.049053724053724046,-0.07426560367736838,0.2685447985418932,0.0,0.17487566824890466,0.0,0.0
2019-07,0.0,0.11102930993009642,0.0011704502150361867,-0.0009462759462759556,0.001364648423471948,0.1800787904070879,0.0,0.21848404789832748,0.0,0.0
2019-08,0.0,0.0563529145922778,-0.0593391039250912,-0.05094627594627595,-0.04065215829921713,0.12553201527634994,0.0,0.10005736983077725,0.0,0.0
2019-09,0.0,0.039769952401431594,-0.05296967717349885,-0.025946275946275955,-0.09947568771098184,0.08892539122056843,0.0,0.13810781874056777,0.0,0.0
2019-10,0.0,0.005940709532105337,-0.04978496379770267,-0.033089133089133096,-0.05745888098829276,0.12988994671156204,0.0,0.15862940916382556,0.0,0.0
2019-11,0.0,0.00044464206313916634,-0.03704611029451795,-0.004517704517704527,-0.06586224233283057,0.12030249755409544,0.0,0.1667525387063651,0.0,0.0
2019-12,0.0,-0.04437673574411943,-0.1039250911862377,-0.09023199023199024,-0.06586224233283057,0.05239139935537378,0.0,0.12228909278930654,0.0,0.0
2019-13,0.0,-0.06067541858312256,-0.07844738417986827,-0.07237484737484738,-0.07426560367736838,0.05536931916943537,0.0,0.08252851134424455,0.0,0.0
2019-14,0.0,-0.08209112975530108,-0.09755566443464535,-0.11523199023199024,-0.06586224233283057,0.030165949035792138,0.0,0.026094137680285588,0.0,0.0
2019-15,0.0,-0.11099286385934733,-0.09437095105884917,-0.043803418803418814,-0.049055519643754944,0.007940498716210498,0.0,-0.011956311229504921,0.0,0.0
