season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2010-2011,netherlands,2011-01,2011-03,135.0639043754134,105.90053889709999,234.36894975906065,0.899199248800599,4.3051861218412816e-10
2011-2012,netherlands,2012-08,2012-10,107.19018855183083,78.0094421818,523.4630052477485,0.5296219561355628,0.005393891272645746
2012-2013,netherlands,2013-05,2013-05,183.7090741476201,153.4919416731,922.8378969756234,0.8396548264155719,8.20295278677319e-08
2013-2014,netherlands,2014-09,2014-07,90.35203522975976,85.4684974267,603.3911076169311,0.7410629366502135,1.4884233155960786e-05
2014-2015,netherlands,2014-47,2015-08,93.33861396320808,161.4606516028,2416.1621361919015,0.5507276477225375,0.0035509024384217623
2015-2016,netherlands,2016-06,2016-07,86.95575159333613,147.34687395219999,671.4310728571058,0.8913361035339578,1.0169312259407462e-09
2016-2017,netherlands,2017-02,2017-05,141.8788674422143,123.5129131035,858.9894373751433,0.7101700516086749,4.818987401361443e-05
2017-2018,netherlands,2018-09,2018-10,146.07947972985306,169.66161532299998,1442.9802351081448,0.8466416515483964,4.992397636189747e-08
2018-2019,netherlands,2019-05,2019-06,119.67548136121259,107.51,683.5626937050874,0.4860943752825914,0.011809731887602348
