season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2010-2011,belgium,2011-01,2011-01,230.81977393634648,491.30855641510004,20680.63128053393,0.556646895379044,0.003142602790658105
2011-2012,belgium,2012-01,2012-07,252.93635961843407,530.5706220533999,17639.638460746974,0.4922205684441747,0.01063936494276969
2012-2013,belgium,2013-01,2013-06,152.86540761943576,1018.0787068558,108499.61758813215,0.6621389897702312,0.00022900668755476065
2013-2014,belgium,2014-01,2014-09,325.5810628607019,310.6314229084,25654.591632965894,0.45960834176434423,0.018166852072643246
2014-2015,belgium,2014-42,2015-06,1126.2025634340162,979.3634137810001,113044.66190351003,0.08539747612657009,0.6782978685306136
2015-2016,belgium,2016-06,2016-09,394.33963033193584,733.5038050510001,35614.655551874246,0.6305917479927079,0.000553636900423019
2016-2017,belgium,2017-05,2017-05,448.60187155610174,663.8996612386001,23254.145658761405,0.7832145380955057,2.239960829828543e-06
2017-2018,belgium,2018-08,2018-10,365.5635196244143,752.6331722288,27925.801909491995,0.7962951390678732,1.1418156645705236e-06
2018-2019,belgium,2019-05,2019-07,323.01583779227565,760.71,33530.73780347147,0.6207871865281189,0.0007145765712464339
