season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2015-2016,germany,2016-09,2016-11,25.851728233178846,11.06,55.476853484148805,0.5090673835025373,0.00790746051345576
2016-2017,germany,2017-05,2017-06,18.544662962916714,19.91,36.85052990192415,0.7681258757867033,4.6142157617685195e-06
2017-2018,germany,2017-51,2018-10,4.701774854488198,57.31,626.8369572592596,-0.044792490637904164,0.8279951021366705
2018-2019,germany,2019-08,2019-08,13.35740520589432,23.6,52.48538148503599,0.7232021239400586,2.9914172964180178e-05
