week,Erkältung,Bradykardie,Fieber,Dyspnoe,Rhinosinusitis,Schüttelfrost,Hordeolum,FSME-Impfstoff,Remune,Allgemeininfektion
2018-42,-0.3231466829339003,-0.08467809183271852,-0.2928654068646355,-0.2441433444722918,-0.23240469208211142,-0.2556833163408803,-0.14616151436145747,-0.24620445344129555,0.0,-0.010746606334841634
2018-43,-0.3231466829339003,-0.07774027204258756,-0.2908728628358401,-0.21967244500139232,-0.213049853372434,-0.2556833163408803,-0.18204872598207836,-0.24620445344129555,0.0,-0.09407993966817496
2018-44,-0.3231466829339003,-0.0813826274324063,-0.2773107083172644,-0.27919625452520186,-0.2904692082111437,-0.2556833163408803,-0.201701246631466,-0.24620445344129555,0.0,0.052978883861236795
2018-45,-0.3231466829339003,-0.0787809450111072,-0.29434374598277413,-0.27258249791144523,-0.25821114369501463,-0.2556833163408803,-0.21280919308546772,-0.24620445344129555,0.0,0.003959276018099542
2018-46,-0.3231466829339003,-0.0811224591902764,-0.2870163260059133,-0.1872650375939849,-0.25391006842619745,-0.2556833163408803,-0.17008632210853805,-0.24620445344129555,0.0,0.043174962292609344
2018-47,-0.3231466829339003,-0.07513858962128846,-0.30629901015554695,-0.2150428153717627,-0.23670576735092863,-0.2556833163408803,-0.1774916197445392,-0.24620445344129555,0.0,-0.10878582202111614
2018-48,-0.3231466829339003,-0.08198968666404277,-0.3064275613832112,-0.29837614870509604,-0.25821114369501463,-0.2556833163408803,-0.17492824748592342,-0.24620445344129555,0.0,-0.12349170437405732
2018-49,-0.3231466829339003,-0.08580548754861479,-0.294279470368942,-0.31226503759398494,-0.17649071358748777,-0.2556833163408803,-0.18518173652038653,-0.24620445344129555,0.0,-0.09407993966817496
2018-50,-0.3231466829339003,-0.08485153732747178,-0.2767965034066075,-0.2864713868003341,-0.26251221896383187,-0.2556833163408803,-0.16211138619284451,-0.24620445344129555,0.0,-0.12839366515837106
2018-51,-0.3231466829339003,-0.08814700172778399,-0.2884946651240519,-0.3717888471177945,-0.22595307917888563,-0.2556833163408803,-0.2145181079245449,-0.24620445344129555,0.0,-0.10388386123680242
2018-52,-0.3231466829339003,-0.1257846740892444,-0.3410721172387196,-0.6019475772765246,-0.37649071358748776,-0.2556833163408803,-0.29398264794163403,-0.24620445344129555,0.0,-0.030354449472096538
2019-01,-0.3231466829339003,-0.06976177928393697,0.0,0.0,0.0,-0.2556833163408803,-0.17151041780776904,-0.24620445344129555,0.0,-0.12839366515837106
2019-02,-0.3231466829339003,-0.054672021240402144,-0.2588636071474482,0.0,0.0,-0.2556833163408803,-0.17293451350700004,-0.24620445344129555,0.0,-0.030354449472096538
2019-03,-0.3231466829339003,-0.06880782906279395,-0.23630286669237688,0.0,0.0,-0.2556833163408803,-0.15869355651469016,-0.24620445344129555,0.0,-0.05976621417797889
2019-04,-0.3231466829339003,-0.05605958519842834,-0.23925954492865403,0.0,0.0,-0.2556833163408803,-0.14957934403961182,-0.24620445344129555,-0.05555555555555554,-0.03525641025641026
2019-05,-0.3231466829339003,-0.07036883851557342,-0.2496721943694562,0.0,-0.08831867057673508,-0.2556833163408803,-0.16809258812961467,-0.24620445344129555,0.04444444444444447,-0.10388386123680242
2019-06,-0.3231466829339003,-0.0679406015890276,-0.23951664738398248,0.0,-0.08401759530791787,-0.2556833163408803,-0.17208005608746144,-0.24620445344129555,0.14444444444444446,-0.10878582202111614
2019-07,-0.3231466829339003,-0.0668132058731313,-0.22981102969533357,0.0,-0.03670576735092863,-0.2556833163408803,-0.16809258812961467,-0.24620445344129555,-0.25555555555555554,-0.01564856711915536
2019-08,-0.3231466829339003,-0.07184312522097624,-0.24414449157989457,-0.1621327624617098,-0.15068426197458454,-0.2556833163408803,-0.19600486383454205,-0.24620445344129555,0.04444444444444447,-0.09407993966817496
2019-09,-0.3231466829339003,-0.07114934324196315,-0.22293353901529758,-0.14229149262043994,-0.049608993157380245,-0.2556833163408803,-0.1923022150165415,-0.24620445344129555,-0.05555555555555554,-0.06957013574660634
2019-10,-0.3231466829339003,-0.08129590468502967,-0.22595449286540684,-0.21239731272626006,-0.11412512218963831,-0.2556833163408803,-0.224771596959008,-0.24620445344129555,0.09444444444444447,-0.030354449472096538
2019-11,-0.3231466829339003,-0.0818162411692895,-0.23925954492865403,-0.20842905875800607,-0.12487781036168132,-0.2556833163408803,-0.20739762942838996,-0.24620445344129555,0.5944444444444444,-0.16270739064856712
2019-12,-0.3231466829339003,-0.0985537314129804,-0.2718472811415349,-0.3578999582289056,-0.2087487781036168,-0.2556833163408803,-0.2643614573976295,-0.24620445344129555,0.04444444444444447,-0.13329562594268476
2019-13,-0.3231466829339003,-0.0989873451498636,-0.28720915284740967,-0.31160366193260924,-0.23240469208211142,-0.2556833163408803,-0.23132243717547055,-0.24620445344129555,0.14444444444444446,-0.06957013574660634
2019-14,-0.3231466829339003,-0.08259674589567922,-0.31639028152718857,-0.16808514341409075,-0.24745845552297163,-0.2556833163408803,-0.16182656705299833,-0.24620445344129555,0.14444444444444446,-0.054864253393665165
2019-15,-0.3231466829339003,-0.08060212270601658,-0.3226892916827355,-0.1482438735728209,-0.24100684261974584,-0.2556833163408803,-0.17236487522730765,-0.24620445344129555,-0.15555555555555553,-0.10878582202111614
