season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2015-2016,germany,2016-10,2016-11,18.758661187132468,11.06,94.31180902709676,0.7374918495675211,1.7188883821978157e-05
2016-2017,germany,2017-06,2017-06,18.483828154760673,19.91,6.278990705354336,0.9344216912911963,2.9792626621384396e-12
2017-2018,germany,2018-09,2018-10,52.53867731658673,57.31,31.895672145821777,0.9473121796364453,2.3050354219764195e-13
2018-2019,germany,2019-07,2019-08,23.08481387082391,23.6,17.353610471932644,0.8612392356332365,1.6269238698521987e-08
