week,Griep,Koorts,Mexicaanse_griep,Opportunistische_infectie,Immuunsysteem,Virologie,Virulentie,Aziatische_griep,Hemagglutinine,Pandemrix
2018-42,-0.22553028366981856,-0.26333198105059286,-0.12731876701582762,0.12536421911421908,-0.23658275505684329,-0.0387573964497041,0.194154715341156,-0.12132554945054945,-0.13636363636363635,-0.0137104743083004
2018-43,-0.24853053922821364,-0.30212068469128694,-0.14411540768769324,0.11021270396270394,-0.25385722722574927,-0.16952662721893486,-0.026184267709691452,-0.09989697802197803,0.007575757575757576,-0.008275691699604747
2018-44,-0.24929721441349348,-0.24904140602507396,-0.15011420792764527,0.14051573426573424,-0.2058725823121216,-0.06952662721893486,0.002064319860930018,-0.12132554945054945,0.7803030303030303,-0.0137104743083004
2018-45,-0.24648607206746742,-0.2844275918025493,-0.14051612754372203,0.17081876456876455,-0.005296766573158078,0.12278106508875744,0.6969795740982182,-0.07489697802197802,-0.030303030303030304,-0.06805830039525693
2018-46,-0.262586250958344,-0.27558104535818045,-0.13451732730377003,-0.07160547785547788,-0.17516240956739992,-0.023372781065088714,0.10375923511516731,-0.13203983516483517,-0.13636363636363635,-0.08979743083003953
2018-47,-0.23166368515205724,-0.26231122569162724,-0.14111600756771725,-0.04130244755244758,-0.2164292041931197,-0.09260355029585794,-0.009235115167318569,-0.1141826923076923,0.09090909090909091,-0.030014822134387355
2018-48,-0.23038589317659086,-0.2640124846232366,-0.016340962576715443,0.42081876456876455,-0.045603868300605296,0.007396449704142054,-0.048783137766188624,-0.14632554945054946,-0.09090909090909091,0.3830286561264822
2018-49,-0.23243036033733708,-0.2388338524354176,-0.1159210465599188,0.45869755244755245,-0.10126605640041336,0.19970414201183437,0.019013472403302898,-0.14989697802197802,-0.13636363636363635,0.41020256916996045
2018-50,-0.20738563761819576,-0.2469998953071427,-0.113521526463938,0.004152097902097877,-0.15692824450022141,0.19201183431952668,0.22805302042590178,-0.12489697802197802,0.030303030303030304,0.013463438735177862
2018-51,-0.26054178379759774,-0.26979676499070854,-0.13511720732776522,0.2465763403263403,-0.2855270928687435,-0.1541420118343195,-0.048783137766188624,-0.09989697802197803,-0.05303030303030303,-0.030014822134387355
2018-52,-0.29785330948121647,-0.32525780616117467,-0.12251972682386601,-0.2534236596736597,-0.47170751513361875,-0.2387573964497041,-0.22392438070404172,-0.1677541208791209,-0.11363636363636363,0.8993330039525691
2019-01,-0.18898543317147967,-0.18099104876069833,-0.10092404596003877,0.17839452214452212,0.02541340617156361,-0.054142011834319485,0.04726205997392437,-0.07489697802197802,0.10606060606060606,0.0
2019-02,-0.17825198057756197,-0.173505509461617,-0.0505341239444419,0.13293997668997667,0.001421083714749792,-0.01568047337278102,-0.009235115167318569,-0.09275412087912088,0.29545454545454547,0.0
2019-03,-0.0946843853820598,-0.12008597900908213,0.2554046882931106,0.29960664335664333,0.04364757123874211,0.04585798816568051,0.007714037375054312,-0.0534684065934066,-0.022727272727272728,0.0
2019-04,-0.008050089445438283,-0.10341364147931009,0.15522472428591202,0.26172785547785543,0.011977705595747873,0.2612426035502959,-0.09963059539330726,-0.017754120879120882,-0.030303030303030304,0.0
2019-05,-0.03871709685663174,-0.0690482110608004,0.3051947302847123,0.019303613053613028,-0.1837996456518529,0.284319526627219,0.09245980008691872,-0.03561126373626374,-0.03787878787878788,0.0
2019-06,0.00038333759263991824,-0.11634320935954147,0.16002376447787364,-0.048878205128205156,-0.2509781485309316,0.45355029585798823,0.03596262494567578,0.017960164835164834,0.03787878787878788,0.0
2019-07,-0.0039611551239458215,-0.05475763603528152,0.09163744174242074,0.17839452214452212,-0.12525837885722718,0.21508875739644975,0.052911777488048664,-0.07846840659340659,0.03787878787878788,0.0
2019-08,-0.02619473549706108,-0.060882168189075325,0.013053158599049404,-0.010999417249417274,-0.1166211427727742,0.1766272189349113,0.22805302042590178,-0.04632554945054945,0.06818181818181818,0.0
2019-09,-0.03565039611551239,-0.06836770748815664,0.03164943934290063,-0.08675699300699304,-0.10798390668832122,0.07662721893491128,0.14895697522816165,0.0036744505494505477,0.29545454545454547,0.0
2019-10,-0.08931765908510095,-0.10205263433402259,0.04064763970282865,0.042030885780885756,-0.09646759190905059,0.053550295857988206,-0.11657974793568016,-0.07489697802197802,0.0,0.0
2019-11,-0.134295936621518,-0.1530904022823043,-0.00014420192884501598,0.011727855477855454,-0.09550789901077804,0.06893491124260359,0.007714037375054312,-0.08561126373626374,-0.14393939393939395,0.0
2019-12,-0.1841298236647074,-0.2483609024524302,-0.09612500576807717,-0.23827214452214454,-0.29032555736010623,-0.0002958579881656384,0.15460669274228594,-0.07489697802197802,-0.06818181818181818,0.0
2019-13,-0.22604140046000512,-0.24291687387128016,-0.07452932490424993,0.07233391608391605,-0.2183485899896648,-0.09260355029585794,-0.06573229030856151,-0.15703983516483516,-0.17424242424242425,0.0
2019-14,-0.23524150268336314,-0.23679234171748634,-0.12251972682386601,-0.048878205128205156,-0.13389561494168015,0.1535502958579882,-0.0713820078226858,-0.14989697802197802,-0.030303030303030304,0.0
2019-15,-0.278175313059034,-0.2980376632554244,-0.06853052466429793,-0.033726689976690004,-0.15788793739849397,-0.24644970414201178,0.08116036505867014,-0.07846840659340659,-0.19696969696969696,0.0
