week,Griep,Koorts,Mexicaanse_griep,Mazelenvirus,Aardbeientong,Ebola-uitbraak_in_West-Afrika_in_2014,Lassakoorts,Hersenvliesontsteking,Acute_buik,Flavivirus
2018-42,-0.22553028366981856,-0.26333198105059286,-0.12731876701582762,-0.08419689119170984,-0.311775147928994,0.04790896876049711,-0.029803965414430533,-0.39300585855401426,-0.13684994582881907,-0.07274048625792812
2018-43,-0.24853053922821364,-0.30212068469128694,-0.14411540768769324,-0.09974093264248704,-0.3025443786982248,-0.10929627141417537,-0.033292337507453786,-0.3636342738545607,-0.15797670639219935,-0.06692653276955603
2018-44,-0.24929721441349348,-0.24904140602507396,-0.15011420792764527,-0.03756476683937824,-0.28715976331360943,-0.22720020154517975,-0.029803965414430533,-0.36841569461958806,-0.2354414951245937,-0.07467847075405215
2018-45,-0.24648607206746742,-0.2844275918025493,-0.14051612754372203,-0.03238341968911917,-0.311775147928994,-0.08309539805172995,-0.030579159212880146,-0.3824184268600252,-0.1650189599133261,-0.07370947850599013
2018-46,-0.262586250958344,-0.27558104535818045,-0.13451732730377003,-0.07383419689119171,-0.24100591715976327,0.12214477662075912,-0.033292337507453786,-0.3824184268600252,-0.10163867822318526,-0.06498854827343199
2018-47,-0.23166368515205724,-0.26231122569162724,-0.14111600756771725,0.014248704663212436,-0.3148520710059171,0.11341115216661066,-0.03445512820512821,-0.36500039407313994,-0.2354414951245937,-0.07080250176180408
2018-48,-0.23038589317659086,-0.2640124846232366,-0.016340962576715443,-0.08937823834196891,-0.27177514792899404,0.05227578098757135,-0.033679934406678595,-0.36226815363598147,-0.01713163596966413,-0.06208157152924594
2018-49,-0.23243036033733708,-0.2388338524354176,-0.1159210465599188,-0.042746113989637305,-0.27177514792899404,0.0697430298958683,-0.029803965414430533,-0.36841569461958806,-0.2917795232936078,-0.0717714940098661
2018-50,-0.20738563761819576,-0.2469998953071427,-0.113521526463938,-0.06347150259067358,-0.3302366863905325,-0.0874622102788042,-0.03019156231365534,-0.3557790825977301,-0.2002302275189599,-0.06595754052149401
2018-51,-0.26054178379759774,-0.26979676499070854,-0.13511720732776522,-0.05829015544041451,-0.2810059171597633,-0.06562814914343301,-0.028641174716756115,-0.4022271700294241,-0.08755417118093174,-0.06208157152924594
2018-52,-0.29785330948121647,-0.32525780616117467,-0.12251972682386601,-0.03756476683937824,-0.37639053254437865,-0.1747984548202889,-0.03174194991055456,-0.4637025798654897,-0.48192036836403035,-0.06692653276955603
2019-01,-0.18898543317147967,-0.18099104876069833,-0.10092404596003877,-0.03756476683937824,-0.308698224852071,-0.030693651326839128,0.08027355396541443,-0.29020531210592687,0.1730092091007584,0.0
2019-02,-0.17825198057756197,-0.173505509461617,-0.0505341239444419,0.029792746113989636,-0.38254437869822483,0.1527124622102788,-0.006935748360166967,-0.2973774432534678,-0.0945964247020585,0.0
2019-03,-0.0946843853820598,-0.12008597900908213,0.2554046882931106,0.09715025906735751,-0.35177514792899406,-0.00885959019146795,-0.02011404293381038,-0.3233337274064733,0.003995124593716151,0.0
2019-04,-0.008050089445438283,-0.10341364147931009,0.15522472428591202,0.05569948186528497,-0.3363905325443787,0.06100940544171982,-0.021276833631484797,-0.25912607713324926,-0.02417388949079089,0.0
2019-05,-0.03871709685663174,-0.0690482110608004,0.3051947302847123,-0.011658031088082901,-0.2810059171597633,-0.07872858582465572,0.0027541741204531885,-0.29874356347204706,-0.17206121343445285,0.9253215292459479
2019-06,0.00038333759263991824,-0.11634320935954147,0.16002376447787364,-0.01683937823834197,-0.311775147928994,-0.10492945918710114,-0.02011404293381038,-0.3448501208490962,-0.17206121343445285,0.36233703312191684
2019-07,-0.0039611551239458215,-0.05475763603528152,0.09163744174242074,-0.03238341968911917,-0.4071597633136094,-0.07872858582465572,-0.025540399522957665,-0.26390749789827656,-0.10868093174431202,0.3129184284707541
2019-08,-0.02619473549706108,-0.060882168189075325,0.013053158599049404,0.029792746113989636,-0.25946745562130175,-0.20536614040980855,-0.026315593321407277,-0.2744949295922656,0.3349810400866739,0.46892618040873857
2019-09,-0.03565039611551239,-0.06836770748815664,0.03164943934290063,-0.09455958549222798,-0.3179289940828402,-0.18353207927443738,-0.02825357781753131,-0.29464520281630935,-0.0030471289274106098,0.34974013389711067
2019-10,-0.08931765908510095,-0.10205263433402259,0.04064763970282865,-0.07383419689119171,-0.25639053254437866,-0.021960026872690656,0.11476967799642218,-0.2925960224884405,-0.1650189599133261,0.3235773431994362
2019-11,-0.134295936621518,-0.1530904022823043,-0.00014420192884501598,0.0038860103626943004,-0.22869822485207097,-0.07872858582465572,-0.010811717352415028,-0.241708044346364,-0.1650189599133261,0.41078664552501765
2019-12,-0.1841298236647074,-0.2483609024524302,-0.09612500576807717,-0.06347150259067358,-0.3302366863905325,-0.1747984548202889,-0.02709078711985689,-0.3834430170239596,-0.2354414951245937,0.2518719168428471
2019-13,-0.22604140046000512,-0.24291687387128016,-0.07452932490424993,-0.04792746113989637,-0.28408284023668634,-0.25340107490762515,-0.02825357781753131,-0.3352872793190416,-0.12276543878656554,0.11427501761804087
2019-14,-0.23524150268336314,-0.23679234171748634,-0.12251972682386601,-0.03238341968911917,-0.2994674556213017,-0.2665015115888479,-0.02902877161598092,-0.23214520281630935,-0.12276543878656554,0.05710447498238196
2019-15,-0.278175313059034,-0.2980376632554244,-0.06853052466429793,-0.03238341968911917,-0.2810059171597633,-0.1005626469600269,-0.023602415026833634,-0.32913973833543503,-0.20727248104008666,0.4592362579281184
