season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2015-2016,belgium,2016-10,2016-09,271.94598627383834,733.5038050510001,47851.75875552786,0.7205907328435276,3.298222151311586e-05
2016-2017,belgium,2017-06,2017-05,391.55563830329703,663.8996612386001,23379.88234039259,0.7700801067727082,4.214741588324205e-06
2017-2018,belgium,2018-08,2018-10,1466.0314349584673,752.6331722288,42217.28468327491,0.8424444192712461,6.746948816466783e-08
2018-2019,belgium,2019-05,2019-07,542.855207882439,760.71,20075.815641685916,0.7982262880504434,1.0294804614663645e-06
