season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2015-2016,italy,2016-05,2016-08,4.222179993977753,6.14,1.7640126098297961,0.8628007738030099,1.4323450397453447e-08
2016-2017,italy,2017-01,2016-52,12.894205932577979,9.57,9.26932497632573,0.9085971916553972,1.3981700383198278e-10
2017-2018,italy,2018-01,2018-02,24.06218904648529,14.73,11.525190538131454,0.8725384751144201,6.239451584393477e-09
2018-2019,italy,2019-05,2019-05,10.284471576126611,14.03,4.690386344050162,0.85729583830689,2.2292085669452536e-08
