season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2015-2016,belgium,2016-05,2016-09,366.71735682153826,733.5038050510001,39743.406938279266,0.7508163041322695,9.925637980461799e-06
2016-2017,belgium,2017-06,2017-05,376.7154870515195,663.8996612386001,16174.670083332556,0.7759677812436823,3.1912334271347446e-06
2017-2018,belgium,2018-09,2018-10,477.23105485395195,752.6331722288,21061.386755813386,0.8350338271065555,1.1248192050715513e-07
2018-2019,belgium,2018-44,2019-07,1007.9579643304872,760.71,137507.16882421917,-0.15149351969452204,0.4600541953158383
