season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2015-2016,netherlands,2016-06,2016-07,91.53196788819973,147.34687395219999,695.7147955918047,0.8297239264457853,1.5979747945022702e-07
2016-2017,netherlands,2017-02,2017-05,148.61832590382653,123.5129131035,845.8214280068719,0.7483412246074613,1.1019344027149671e-05
2017-2018,netherlands,2018-08,2018-10,117.11402260681214,169.66161532299998,1206.2517982289107,0.8965362412166853,5.804211358730344e-10
2018-2019,netherlands,2019-05,2019-06,189.00487047211647,107.51,1886.3631864244928,0.5934367883943699,0.0013952860818005712
