season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2010-2011,netherlands,2011-02,2011-03,318.5999823946485,105.90053889709999,4170.14705444572,0.6340220549484683,0.0005053185063534436
2011-2012,netherlands,2012-08,2012-10,91.81181720612685,78.0094421818,410.41973558013746,0.7582458265914576,7.199711477074619e-06
2012-2013,netherlands,2013-02,2013-05,62.328940676376405,153.4919416731,1677.2422911983954,0.8257128090199657,2.067094329710541e-07
2013-2014,netherlands,2014-06,2014-07,119.58707840456935,85.4684974267,1237.6712672097028,0.7859608039031756,1.9519552990224018e-06
2014-2015,netherlands,2014-47,2015-08,132.60153338634578,161.4606516028,2370.962999570818,0.42292525217338284,0.0313484821016115
2015-2016,netherlands,2015-51,2016-07,104.54486411984232,147.34687395219999,813.4141129127826,0.7296043577273489,2.3437132807823884e-05
2016-2017,netherlands,2017-02,2017-05,146.36973796301356,123.5129131035,1035.073807072385,0.6829851408513792,0.00012060046289096523
2017-2018,netherlands,2018-09,2018-10,117.74203292096645,169.66161532299998,1691.5519506960436,0.8757042215179413,4.693041560310396e-09
2018-2019,netherlands,2019-05,2019-06,125.7223357267027,107.51,803.473671582696,0.5493685051338264,0.0036507690458985735
