week,Influenza-Schnelltest,Rifttalfieber,Schweineinfluenza,Peramivir,Antikörper,Schweinegrippe-Impfung,Pferdeinfluenza,Inkubationszeit,Impfung,Superinfektion
2018-42,-0.06434495119754084,-0.006943056943056934,-0.021369446268485873,0.0,-0.21815124949507078,-0.01797676389624159,-0.15049182744965878,-0.021272525488377103,0.006872676272983781,-0.0804078373347895
2018-43,-0.06886022344189675,-0.06278721278721278,-0.021369446268485873,0.0,-0.2177109148407335,-0.01797676389624159,-0.14597375516050215,-0.053125626481444366,-0.031495925909047415,-0.13666308502580546
2018-44,-0.06886022344189675,-0.06538461538461537,-0.021369446268485873,0.0,-0.21837141682223943,-0.01797676389624159,-0.14898580335327324,0.045244244232439834,0.017489942143965695,-0.057737812145872626
2018-45,-0.05797044920550897,-0.04980019980019979,-0.021369446268485873,0.0,-0.22035292276675728,-0.01797676389624159,-0.1550098997388154,0.04112207822157231,0.03769935856045541,-0.019114806268458687
2018-46,-0.06354813844853686,-0.058891108891108886,-0.021369446268485873,-0.08210581364943781,-0.21815124949507078,-0.01797676389624159,-0.14747977925688768,0.07484889103776118,0.021224290829621403,0.0178289384838503
2018-47,-0.0616889087008609,-0.04850149850149849,-0.021369446268485873,-0.08210581364943781,-0.22035292276675728,-0.01797676389624159,-0.14296170696773106,0.07559837576700983,0.055053096570267225,-0.04346409258248052
2018-48,-0.06248572144986488,-0.06668331668331667,-0.021369446268485873,-0.08210581364943781,-0.21859158414940807,-0.01797676389624159,-0.14446773106411662,0.058547598176603224,0.02481219446878081,-0.019114806268458687
2018-49,-0.06062649170218892,-0.03681318681318681,-0.021369446268485873,-0.08210581364943781,-0.22101342474826322,-0.01797676389624159,-0.15350387564242987,0.09189966862816777,0.010314134865646885,0.045536747048082034
2018-50,-0.03884694322941336,-0.023826173826173816,-0.021369446268485873,-0.08210581364943781,-0.21925208613091404,-0.01797676389624159,-0.15651592383520094,0.13911720657083218,-0.0023533616562832617,0.00019669667024828282
2018-51,-0.015473769258629822,-0.025124875124875115,-0.021369446268485873,-0.08210581364943781,-0.2227747633656124,-0.01797676389624159,-0.15049182744965878,0.09040069916967049,-0.0563915838134188,0.05645194436126424
2018-52,-0.03911254747908135,-0.09005994005994006,-0.021369446268485873,-0.08210581364943781,-0.2214537594026005,-0.01797676389624159,-0.1550098997388154,-0.06755320751948071,-0.19734494106610972,-0.009039239517828963
2019-01,-0.024238709497673646,-0.05629370629370629,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.1550098997388154,-0.1404405974389111,-0.20928021235555835,-0.13666308502580546
2019-02,-0.0215826670009937,-0.043306693306693296,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.1369376105821889,0.13330869991915523,0.05183130554734858,0.27475589062490824
2019-03,0.006571383463813737,-0.03681318681318681,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.14898580335327324,0.2200615573296855,0.11004321152962873,0.36795488306823315
2019-04,0.01692994920086553,-0.042007992007992,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.14296170696773106,0.19926335609303567,0.10425863219302478,0.2940673935636152
2019-05,0.021710825694889434,-0.029020979020979012,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.13543158648580336,0.16759762628228056,0.09752216005419488,0.3528415329422886
2019-06,0.015070719453189567,-0.0030469530469530385,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.14446773106411662,0.20638346102089777,0.09752216005419488,0.28483145737553794
2019-07,-0.00856805876726196,-0.05629370629370629,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.14446773106411662,0.19195587998286143,0.07540895803325325,0.17483985368116348
2019-08,-0.042831006974433275,-0.06668331668331667,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.14747977925688768,0.12450225435048368,0.08448855091602397,0.12530165049056735
2019-09,-0.04814309196779317,-0.05239760239760239,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.1339255623894178,0.12993601863753634,0.05131874788461152,0.12782054217822478
2019-10,-0.05504880245916103,-0.023826173826173816,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.13091351419664674,0.1627259755421644,0.16378854359377165,0.11186756148972771
2019-11,-0.061954512950528895,-0.06928071928071927,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.14145568287134552,0.16909659574077784,0.10733397816944713,0.03294228860979488
2019-12,-0.06381374269820486,0.030719280719280727,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.13844363467857443,0.13949194893545652,0.11736546385444384,0.040498963672767174
2019-13,-0.06461055544720884,0.026823176823176833,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.14898580335327324,0.1462373114986943,0.11948891702864022,0.02538561354682259
2019-14,-0.06381374269820486,0.12812187812187814,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.14446773106411662,0.022010217625731947,0.01668449438823603,0.02034783017150773
2019-15,-0.0717818701882447,-0.043306693306693296,-0.021369446268485873,0.0,0.0,-0.01797676389624159,-0.15350387564242987,-0.06980166170722664,-0.053243015313748296,-0.11483269039944105
