season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2010-2011,netherlands,2011-01,2011-03,139.02691804807304,105.90053889709999,397.2778921554743,0.8688126670760984,8.64171340153659e-09
2011-2012,netherlands,2012-08,2012-10,186.3914921011393,78.0094421818,9098.526917070662,0.5979171286516206,0.0012555315017766713
2012-2013,netherlands,2013-07,2013-05,156.27088744317638,153.4919416731,1262.7690827910665,0.6116573901843394,0.0008994926261991504
2013-2014,netherlands,2014-04,2014-07,245.20281681065939,85.4684974267,2772.8873944660963,0.5838581471426973,0.00173965374823084
2014-2015,netherlands,2015-06,2015-08,90.3224277330355,161.4606516028,2037.4195879091765,0.7561001042234494,7.908366365661351e-06
2015-2016,netherlands,2016-04,2016-07,126.50870602076448,147.34687395219999,955.3437227412638,0.5970355400738812,0.0012820334790061682
2016-2017,netherlands,2017-04,2017-05,149.11108078928146,123.5129131035,1017.859837033126,0.6503567682360792,0.00032215993293408006
2017-2018,netherlands,2018-09,2018-10,133.61277690090049,169.66161532299998,1781.5037840407615,0.6899877642085246,9.610782125065145e-05
2018-2019,netherlands,2019-05,2019-06,118.9484411526453,107.51,517.4623280225819,0.631673798027404,0.000537979013786915
