week,Griep,Aziatische_griep,Japanse_encefalitis,Hongkonggriep,Aviair_reovirus,Influenzavirus_A,Koortsstuip,Symptoomloze_drager,Cyanovirus,Lassakoorts
2018-42,-0.023245303923783982,-0.0580891330891331,-0.15065490065490064,-0.0880015243072568,-0.06285612535612535,-0.17327117327117328,-0.0939820173746302,-0.1740890688259109,-0.014304993252361673,-0.013700692562481178
2018-43,-0.02570905830642399,-0.03666056166056167,-0.15714840714840714,-0.07844738417986827,-0.06285612535612535,-0.17327117327117328,-0.12818174377681898,-0.1740890688259109,-0.014304993252361673,-0.020282186948853614
2018-44,-2.915685659929666e-05,-0.0580891330891331,-0.13766788766788765,0.007539876966628544,-0.06285612535612535,-0.17327117327117328,-0.022846586458077533,-0.1740890688259109,-0.014304993252361673,-0.0210564804060739
2018-45,0.025555984809277704,-0.08666056166056167,-0.13766788766788765,-0.07207795742827591,-0.06285612535612535,-0.17327117327117328,0.13857612216025353,-0.1740890688259109,-0.014304993252361673,-0.014087839291091322
2018-46,0.0006341616310345515,-0.015231990231990242,-0.014291264291264275,-0.008383689912352348,-0.06285612535612535,-0.17327117327117328,-0.04883837852374101,-0.1740890688259109,-0.014304993252361673,-0.019895040220243472
2018-47,0.03313676752509311,-0.015231990231990242,-0.07273282273282272,-0.008383689912352348,-0.06285612535612535,-0.17327117327117328,0.046920855402387586,-0.1740890688259109,-0.014304993252361673,-0.002473437432787025
2018-48,0.006983067155529956,-0.09023199023199024,-0.09870684870684869,-0.06570853067668356,-0.06285612535612535,-0.17327117327117328,0.08248857086066391,-0.1740890688259109,-0.014304993252361673,-0.019895040220243472
2018-49,0.08184329647420711,-0.07237484737484738,-0.10520035520035519,-0.04023082367031413,-0.06285612535612535,-0.16814296814296814,0.08796052708501412,-0.1740890688259109,-0.014304993252361673,-0.013313545833871036
2018-50,0.09548870536267484,-0.06523199023199024,-0.06623931623931623,-0.02749197016712942,-0.06285612535612535,-0.17327117327117328,0.12763220971155312,-0.1740890688259109,-0.014304993252361673,-0.016797866391362326
2018-51,0.11235594690536413,-0.09023199023199024,-0.14416139416139415,-0.1357722249441995,-0.06285612535612535,-0.17327117327117328,0.04008091012194983,-0.1740890688259109,-0.014304993252361673,-0.020282186948853614
2018-52,0.1395520048983519,-0.11166056166056167,-0.13766788766788765,-0.10710980456203388,-0.06285612535612535,-0.17327117327117328,-0.0378944660750406,-0.1740890688259109,-0.014304993252361673,-0.0210564804060739
2019-01,0.7766220323786893,0.30619658119658116,-0.11818736818736818,0.408813762316947,-0.06285612535612535,0.0,0.2904229073859717,-0.1740890688259109,-0.014304993252361673,-0.012152105648040605
2019-02,0.7179657261150675,0.18476800976800975,-0.09870684870684869,0.4056290489411508,-0.06285612535612535,0.0,0.5079331673038924,-0.1740890688259109,-0.014304993252361673,-0.01757215984858261
2019-03,0.5365007398552362,0.18833943833943834,-0.0857198357198357,0.39925962218955846,-0.06285612535612535,0.0,0.40806996620950114,-0.1740890688259109,-0.014304993252361673,-0.015636426205531895
2019-04,0.334662400046651,0.13476800976800976,-0.11169386169386168,0.1349284119984757,-0.06285612535612535,0.0,0.28768692927379663,-0.1740890688259109,-0.014304993252361673,-0.0210564804060739
2019-05,0.3009279169612724,0.1061965811965812,0.06363081363081365,0.01709401709401708,-0.06285612535612535,0.0,0.3246226337881605,-0.1740890688259109,-0.014304993252361673,-0.01641071966275218
2019-06,0.20503101560620748,0.049053724053724046,-0.0792263292263292,0.029832870597201792,-0.06285612535612535,0.0,0.204239596852456,-0.1740890688259109,-0.014304993252361673,-0.015249279476921751
2019-07,0.11102930993009642,-0.0009462759462759556,-0.0792263292263292,0.0011704502150361867,-0.06285612535612535,0.0,0.1782478047867925,-0.1740890688259109,-0.014304993252361673,-0.01641071966275218
2019-08,0.0563529145922778,-0.05094627594627595,-0.15065490065490064,-0.0593391039250912,-0.06285612535612535,0.0,0.10574438481415228,-0.1740890688259109,-0.014304993252361673,-0.016797866391362326
2019-09,0.039769952401431594,-0.025946275946275955,-0.033771783771783755,-0.05296967717349885,-0.06285612535612535,0.0,0.14678405649677884,-0.1740890688259109,-0.014304993252361673,-0.02221792059190433
2019-10,0.005940709532105337,-0.033089133089133096,-0.06623931623931623,-0.04978496379770267,-0.06285612535612535,0.0,0.28768692927379663,-0.1740890688259109,-0.014304993252361673,-0.016023572934142038
2019-11,0.00044464206313916634,-0.004517704517704527,-0.13117438117438115,-0.03704611029451795,-0.06285612535612535,0.0,0.15088802366504148,-0.1740890688259109,-0.014304993252361673,-0.01873360003441304
2019-12,-0.04437673574411943,-0.09023199023199024,-0.10520035520035519,-0.1039250911862377,-0.06285612535612535,0.0,0.08522454897283901,-0.1740890688259109,-0.014304993252361673,-0.01873360003441304
2019-13,-0.06067541858312256,-0.07237484737484738,-0.09870684870684869,-0.07844738417986827,-0.06285612535612535,0.0,0.13173617687981576,-0.1740890688259109,-0.014304993252361673,-0.015636426205531895
2019-14,-0.08209112975530108,-0.11523199023199024,-0.21558996558996557,-0.09755566443464535,-0.06285612535612535,0.0,0.004513194663673493,-0.1740890688259109,-0.014304993252361673,-0.019507893491633326
2019-15,-0.11099286385934733,-0.043803418803418814,-0.04026529026529025,-0.09437095105884917,-0.06285612535612535,0.0,0.019561074280636557,-0.1740890688259109,-0.014304993252361673,-0.020282186948853614
