week,Influenza-Schnelltest,Rifttalfieber,Grippe,Symptom,Pferdeinfluenza,Schweineinfluenza,Nosokomiale_Infektion,Frühsommer-Meningoenzephalitis,Multiple_Sklerose,Peru
2018-42,-0.13265128205128207,0.006676242153420562,-0.07023646071700991,-0.09985367892976589,-0.11738201412114456,-0.23203486303806475,-0.2788126312966523,-0.27938916333411745,-0.21291627579737338,-0.1984292718358453
2018-43,-0.1323846153846154,-0.00438876476220876,-0.0626086956521739,0.10482859531772576,-0.09161711879103183,-0.2252757025969406,-0.26138090555580396,-0.27938916333411745,-0.1918848578560753,-0.17854548756128563
2018-44,-0.13211794871794874,-0.00023938716884776488,-0.0641342486651411,-0.01423494983277592,-0.10933048433048434,-0.22385272145144078,-0.2363954319939213,-0.27938916333411745,-0.2383400046109327,-0.20551116760486654
2018-45,-0.12705128205128205,-0.01683689754229175,-0.09617086193745232,-0.04299749163879599,-0.1012789545398241,-0.21709356101031663,-0.18526236982076616,-0.27938916333411745,-0.1994809719528095,-0.20315053568185945
2018-46,-0.12785128205128207,-0.008538142355569756,-0.04735316552250189,-0.036308528428093644,-0.08517589495850367,-0.22634293845606546,-0.2259363965494123,-0.27938916333411745,-0.18496050895156932,-0.1533956782277102
2018-47,-0.1291846153846154,-0.03896691137355039,-0.10608695652173912,-0.013566053511705686,-0.10933048433048434,-0.21922803272856634,-0.18235708219729144,-0.27938916333411745,-0.21219283635958916,-0.06469039404394407
2018-48,-0.1259846153846154,-0.023752526864560076,-0.12897025171624713,-0.03965301003344482,-0.12382323795367274,-0.2131803628601921,-0.18991083001832573,-0.27938916333411745,-0.20046278261837377,-0.1612947158162339
2018-49,-0.12465128205128206,-0.03896691137355039,-0.0771014492753623,-0.10119147157190636,-0.11738201412114456,-0.21353610814656707,-0.2102478433826488,-0.27938916333411745,-0.20687038906731964,-0.18508262211730525
2018-50,-0.12465128205128206,-0.04035003723800406,-0.10303585049580471,-0.08714464882943143,-0.09161711879103183,-0.17440412664532196,-0.0859015330979306,-0.27938916333411745,-0.1957087520272204,-0.14785727256219358
2018-51,-0.12091794871794873,-0.030668156186828402,-0.07633867276887871,-0.17945234113712374,-0.11577170816301252,-0.21140163642831733,-0.22070687882715778,-0.27938916333411745,-0.24851983098546762,-0.25335936081351007
2018-52,-0.13451794871794873,-0.030668156186828402,-0.17244851258581234,-0.47644230769230766,-0.12865415582806888,-0.22883315546069014,-0.5100735261252403,-0.27938916333411745,-0.4400762592616148,-0.365670964227347
2019-01,-0.11931794871794874,-0.005771890626662426,0.0,0.0,-0.11416140220488047,-0.18792244752757026,-0.21431524605551341,-0.27938916333411745,-0.1567463708779852,0.0
2019-02,-0.11931794871794874,0.012208745611235222,-0.0694736842105263,0.0,-0.08839650687476776,-0.15768409818569903,-0.04464644884458952,-0.27938916333411745,-0.09711429150634403,0.0
2019-03,-0.11265128205128207,-0.052798170018087044,-0.0641342486651411,0.0,-0.09966864858169207,-0.10965848452508005,-0.1079817190363385,-0.27938916333411745,-0.08290387397843993,0.0
2019-04,-0.10251794871794873,0.01912437493350355,-0.015316552250190681,0.0,-0.0900068128328998,-0.07372821060120953,-0.16143901130827343,-0.27938916333411745,-0.15436935558240852,0.0
2019-05,-0.09691794871794873,0.04817001808703052,0.031975591151792535,0.0,-0.08517589495850367,-0.05309498399146211,-0.16027689625888353,-0.27938916333411745,-0.1612420302413585,0.0
2019-06,-0.0899846153846154,0.030189381849132873,0.07163996948893975,0.0,-0.06907283537718321,0.09347207399501957,-0.10681960398694862,-0.27938916333411745,-0.19989436591725762,0.0
2019-07,-0.08198461538461539,0.038488137035854866,0.1921586575133486,0.0,-0.038477022172674354,0.6391853432942014,-0.16783064407991782,-0.27938916333411745,-0.10806923156421917,0.0
2019-08,-0.0675846153846154,0.0025268645600595658,0.15935926773455378,0.0,-0.044918246005202535,0.40332621842760585,-0.16957381665400265,-0.27938916333411745,-0.1876475697204821,0.0
2019-09,-0.0523846153846154,-0.019603149271199077,0.14028985507246378,0.0,-0.007881208968165496,0.3947883315546069,-0.1910729450677156,-0.27938916333411745,-0.17018167472254905,0.0
2019-10,-0.06331794871794873,-0.023752526864560076,0.13037376048817698,0.0,-0.03686671621454231,0.33110992529348987,-0.23407120189514152,-0.27938916333411745,-0.17369552342035807,0.0
2019-11,-0.0651846153846154,0.009442493882327893,0.08460717009916095,-0.0884824414715719,-0.06424191750278707,0.2051760939167556,-0.3154192553524338,-0.27938916333411745,-0.18785426670270616,0.0
2019-12,-0.08438461538461539,-0.05694754761144804,0.031212814645308937,-0.3118938127090301,-0.0755140592097114,0.058609035930273924,-0.4165232646493542,-0.27938916333411745,-0.3433420715807549,0.0
2019-13,-0.08891794871794872,-0.061096925204809034,-0.0519298245614035,-0.2891513377926421,-0.09161711879103183,0.004180007114905728,-0.4019968265319806,-0.27938916333411745,-0.30313950853817534,0.0
2019-14,-0.10545128205128207,-0.06801255452707737,-0.12286803966437833,-0.17343227424749164,-0.08034497708410752,-0.005780860903593027,-0.2753262861484826,-0.27938916333411745,-0.23575629233313194,0.0
2019-15,-0.1179846153846154,-0.050031918289179717,-0.14803966437833713,-0.18012123745819397,-0.08034497708410752,-0.06732479544646033,-0.3078655075313995,-0.27938916333411745,-0.2535839070499571,0.0
